Вид задачи;Статус;Проект;Задача ;Срок выполнения;Ответственнный;Примечание
Стратегические задачи;выполнено;"ИИ - агенты (Исполнительная документация)
ИИ-агент для сбора папки ЗОС";Разработать процессную модель (текущую);24.07.2026;Ласточкина Т.В.;
Стратегические задачи;выполнено;"ИИ - агенты (Исполнительная документация)
ИИ-агент для сбора папки ЗОС";Определить болевые точки (ручной ввод, ошибки, разные формы, разрывы данных);23.07.2026;Ласточкина Т.В.;
Стратегические задачи;в работе;"ИИ - агенты (Исполнительная документация)
ИИ-агент для сбора папки ЗОС";Разработать процессную модель (плановую) ;29.07.2026;Ласточкина Т.В.;
Стратегические задачи;выполнено;"ИИ - агенты (Исполнительная документация)
ИИ-агент для сбора комплекта ИД";Разработать процессную модель (текущую);24.07.2026;Ласточкина Т.В.;
Стратегические задачи;выполнено;"ИИ - агенты (Исполнительная документация)
ИИ-агент для сбора комплекта ИД";Определить болевые точки (ручной ввод, ошибки, разные формы, разрывы данных);23.07.2026;Ласточкина Т.В.;
Стратегические задачи;в работе;"ИИ - агенты (Исполнительная документация)
ИИ-агент для сбора комплекта ИД";Разработать процессную модель (плановую) ;29.07.2026;Ласточкина Т.В.;
Стратегические задачи;выполнено;"ИИ - агенты (Исполнительная документация)
сертификаты качества материала у поставщиков и проверяющий предоставленное (по дате,наименованию материала, критериям подделки и т.п.)";Разработать процессную модель (текущую);24.07.2026;Ласточкина Т.В.;
Стратегические задачи;выполнено;"ИИ - агенты (Исполнительная документация)
сертификаты качества материала у поставщиков и проверяющий предоставленное (по дате,наименованию материала, критериям подделки и т.п.)";Определить болевые точки (ручной ввод, ошибки, разные формы, разрывы данных);23.07.2026;Ласточкина Т.В.;
Стратегические задачи;в работе;"ИИ - агенты (Исполнительная документация)
сертификаты качества материала у поставщиков и проверяющий предоставленное (по дате,наименованию материала, критериям подделки и т.п.)";Разработать процессную модель (плановую) ;29.07.2026;Ласточкина Т.В.;
Стратегические задачи;не начата;"ИИ - агенты (Исполнительная документация)
для разработки АОСР и АООК
на основании комплектов РД
с предварительной проверкой актуальной
версии РД";Разработать процессную модель (текущую);30.07.2026;Ласточкина Т.В.;
Стратегические задачи;не начата;"ИИ - агенты (Исполнительная документация)
для разработки АОСР и АООК
на основании комплектов РД
с предварительной проверкой актуальной
версии РД";Определить болевые точки (ручной ввод, ошибки, разные формы, разрывы данных);31.07.2026;Ласточкина Т.В.;
Стратегические задачи;не начата;"ИИ - агенты (Исполнительная документация)
ИИ-агент для разработки АОСР и АООК
на основании комплектов РД
с предварительной проверкой актуальной
версии РД";Разработать процессную модель (плановую) ;05.08.2026;Ласточкина Т.В.;
Стратегические задачи;не начата;"ИИ - агенты (Исполнительная документация)
ИИ-агент для сверки объемов общего
журнала работ и актов выполненных работ";Разработать процессную модель (текущую);30.07.2026;Ласточкина Т.В.;
Стратегические задачи;не начата;"ИИ - агенты (Исполнительная документация)
ИИ-агент для сверки объемов общего
журнала работ и актов выполненных работ";Определить болевые точки (ручной ввод, ошибки, разные формы, разрывы данных);31.07.2026;Ласточкина Т.В.;
